,FLARE_TYPE,COINCIDENCE,R_VALUE_1,R_VALUE_2,R_VALUE_3,R_VALUE_4,R_VALUE_5
458,M,False,5.2177,5.2147,5.2232,5.2202,5.2337
459,M,False,5.2429,5.2556,5.2498,5.2481,5.2346
460,M,False,5.2688,5.2293,5.3003,5.2743,5.2478
461,M,False,5.2177,5.1987,5.2172,5.199,5.1799
462,M,False,5.1392,5.1301,5.0822,5.0904,5.1068
463,M,False,5.1075,5.0807,5.1195,5.0849,5.1074
464,M,False,5.1074,5.127,5.1227,5.1657,5.1702
465,M,False,5.3455,5.3729,5.3075,5.3708,5.3236
466,M,True,3.9858,4.043,3.9845,3.9075,3.9497
467,M,False,4.2306,4.2449,4.1808,4.3534,4.041
468,M,True,4.293,4.3332,4.2344,4.2542,4.2753
469,M,True,4.4366,4.472,4.3987,4.4691,4.3955
470,M,True,4.6842,4.6855,4.6991,4.6957,4.7463
471,M,False,4.7869,4.7731,4.8115,4.8004,4.812
472,M,False,4.8177,4.8085,4.8138,4.7938,4.8063
473,M,False,4.7605,4.7569,4.7584,4.7804,4.7556
474,M,False,4.782,4.7462,4.7572,4.7834,4.7762
475,M,True,4.5851,4.6077,4.5854,4.6145,4.5671
476,M,True,4.8805,4.9397,4.9217,5.0522,5.0616
477,M,False,4.8637,4.8451,4.8583,4.8358,4.8359
478,M,False,4.7892,4.7712,4.6863,4.7224,4.7318
479,M,True,4.747,4.7549,4.7299,4.7048,4.6915
480,M,True,4.6855,4.6836,4.6307,4.6421,4.6613
481,M,False,4.6794,4.6574,4.6428,4.693,4.6201
482,M,False,4.6797,4.6175,4.6241,4.6968,4.6599
483,M,False,4.255,4.2342,4.2315,4.2062,4.2641
484,M,True,5.0113,5.0205,5.0374,5.0277,5.0613
485,M,True,4.5582,4.6138,4.5455,4.5867,4.6363
486,M,False,5.0189,4.9897,5.001,5.0253,5.001
487,M,True,5.2431,5.2263,5.2518,5.2802,5.2904
488,M,True,5.1272,5.1259,5.1056,5.0937,5.1183
489,M,False,4.5641,4.6281,4.6009,4.6228,4.5485
490,M,False,5.0159,5.0083,4.9896,5.0078,5.0256
491,M,False,4.1718,4.2472,4.1599,4.224,4.2809
492,M,False,4.8814,4.8759,4.9056,4.8767,4.8662
493,M,False,4.9662,4.9735,4.9425,4.9219,4.8989
494,M,False,4.1695,4.1765,4.1878,4.2381,4.1455
495,M,False,4.3452,4.3988,4.3925,4.3511,4.427
496,M,False,4.764,4.8878,4.863,4.8589,4.8244
497,M,True,4.3993,4.3916,4.3897,4.3799,4.3692
498,M,False,4.2054,4.3044,4.2183,4.1517,4.1663
499,M,False,4.1879,4.364,4.2968,4.2905,4.3067
500,M,False,4.6563,4.6002,4.6112,4.594,4.5999
501,M,False,4.0412,4.111,4.0365,4.1537,4.0816
502,M,False,3.9886,4.3225,4.1958,4.2954,4.2318
503,M,False,3.9544,3.9838,3.9763,3.9331,3.9089
504,M,False,4.1289,4.234,4.1814,4.3001,4.4615
505,M,False,4.5429,4.3963,4.3284,4.4495,4.4228
506,M,False,4.5045,4.4094,4.3867,4.4047,4.3717
507,M,True,4.3001,4.2614,4.3077,4.2664,4.2887
508,M,False,4.5296,4.4973,4.5022,4.5351,4.5522
509,M,True,4.5052,4.5422,4.5622,4.5293,4.5391
510,M,True,4.8423,4.8506,4.8291,4.8431,4.8691
511,M,False,4.9043,4.9144,4.9182,4.9184,4.9182
512,M,True,5.029,4.9883,4.9849,5.0177,5.0245
513,M,True,4.9936,4.9779,4.9854,5.0049,4.9911
514,M,False,5.0049,4.9911,4.9943,4.991,4.9366
515,M,False,4.9517,4.9735,4.977,5.0036,4.986
516,M,False,5.0636,5.0937,5.0924,5.0944,5.116
517,M,False,5.0812,5.1025,5.1179,5.1245,5.1142
518,M,False,4.9288,4.9202,4.8968,4.8968,4.9313
519,M,True,4.8518,4.849,4.8582,4.8477,4.8571
520,M,True,4.7725,4.7549,4.7461,4.6916,4.6987
521,M,False,4.843,4.8378,4.8229,4.8106,4.8205
522,M,False,4.5758,4.5583,4.5634,4.4975,4.4815
523,M,False,4.1682,4.1565,4.1912,4.2095,4.2152
524,M,False,4.7346,4.8861,4.7604,4.8369,4.9062
525,M,True,3.595,3.6276,3.5744,3.5805,3.4636
526,M,True,3.6682,3.7196,3.7859,3.8457,3.9169
527,M,False,3.9895,3.9506,3.9592,3.9469,3.9851
528,M,False,4.0536,4.0103,4.0251,4.0504,4.0487
529,M,False,4.2025,4.2103,4.1849,4.1702,4.2185
530,M,False,4.4722,4.4689,4.4646,4.504,4.496
531,M,True,4.561,4.5693,4.5472,4.5434,4.5253
532,M,False,4.4622,4.4977,4.4481,4.3817,4.3602
533,M,False,4.7506,4.7658,4.7598,4.7473,4.7084
534,M,True,4.4622,4.4605,4.467,4.4725,4.4577
535,M,False,4.4984,4.489,4.4978,4.5298,4.4253
536,M,False,3.4505,3.5404,3.4122,3.3772,3.5229
537,M,False,4.6068,4.6074,4.5931,4.5778,4.6185
538,M,True,4.9826,5.0067,4.9947,4.9729,4.9738
539,M,False,4.9613,4.9567,4.9283,4.9166,4.9333
540,M,False,4.9696,4.9746,4.9413,4.9581,4.9143
541,M,True,4.5251,4.5325,4.3561,4.3847,4.4019
542,M,False,4.4079,4.4428,4.4415,4.5036,4.4309
543,M,False,4.7591,4.7751,4.8007,4.7674,4.7534
544,M,False,4.7865,4.7763,4.77,4.7399,4.7496
545,M,False,4.0333,4.115,4.1456,4.0985,4.1539
546,M,True,3.8744,4.1066,4.1071,4.023,4.0595
547,M,False,4.7052,4.7215,4.6892,4.7178,4.7172
548,M,True,4.8226,4.7917,4.7796,4.7591,4.8224
549,M,True,4.8056,4.8013,4.8164,4.8013,4.8187
550,M,False,4.7806,4.7937,4.7945,4.8017,4.8259
551,M,True,4.946,4.943,4.949,4.9353,4.969
552,M,False,5.0347,5.0156,5.0118,5.011,4.9996
553,M,True,4.9208,4.9124,4.9423,4.9161,4.9092
554,M,False,4.9817,5.0043,4.9563,5.0091,5.0157
555,M,False,4.9679,4.9894,5.0039,4.9798,4.9932
556,M,True,4.8155,4.8277,4.7883,4.7721,4.811
557,M,False,4.7157,4.7085,4.7096,4.687,4.6876
558,M,False,4.47,4.4994,4.5227,4.4255,4.4616
559,M,False,4.3244,4.2797,4.2657,4.3157,4.255
560,M,False,4.3683,4.3076,4.3555,4.3494,4.3785
561,M,True,4.72,4.6937,4.7126,4.7516,4.748
562,M,True,4.7517,4.7292,4.6689,4.6646,4.6921
563,M,True,3.8572,3.7864,3.839,3.8634,3.9105
564,M,True,4.7717,4.7753,4.6451,4.7002,4.6109
565,M,True,4.8908,4.8759,4.8591,4.8339,4.8926
566,M,False,4.9165,4.8451,4.8635,4.8656,4.8639
567,M,True,4.4542,4.4586,4.4512,4.4383,4.4499
568,M,True,4.8847,4.9065,4.9302,4.908,4.9138
569,M,False,4.9847,4.9651,4.9768,5.0029,4.98
570,M,False,4.5437,4.5829,4.5822,4.5278,4.4944
571,M,False,4.98,4.9779,5.0044,5.0059,5.0
572,M,False,5.0,4.9877,4.9825,5.0008,5.0329
573,M,False,4.5354,4.535,4.5704,4.5908,4.5753
574,M,True,5.0281,5.0463,5.0357,5.024,5.0202
575,M,True,5.1453,5.1072,5.0973,5.0823,5.0563
576,M,False,5.169,5.1495,5.1303,5.1415,5.1449
577,M,True,5.1626,5.1653,5.1585,5.1584,5.1848
578,M,True,5.1073,5.0875,5.1054,5.112,5.1024
579,M,True,4.9486,4.9515,4.9301,4.9345,4.9326
580,M,False,4.8799,4.8741,4.879,4.8694,4.8572
581,M,False,4.8797,4.8572,4.8672,4.887,4.8985
582,M,False,5.038,5.0001,4.9039,4.9248,4.8726
583,M,True,4.0945,4.1351,4.1194,4.1834,4.1827
584,M,False,4.2092,4.2533,4.293,4.3236,4.3294
585,M,True,4.3903,4.2877,4.4302,4.526,4.4374
586,M,False,4.4302,4.526,4.4374,4.082,3.8717
587,M,False,4.6448,4.6878,4.7025,4.7111,4.7138
588,M,True,4.4707,4.4872,4.4915,4.5188,4.5207
589,M,False,4.5234,4.5024,4.5104,4.4876,4.4546
590,M,False,4.5571,4.5397,4.5753,4.5543,4.4765
591,M,False,4.2004,4.0829,4.1312,4.1295,4.0722
592,M,False,4.309,4.3424,4.2949,4.3264,4.3125
593,M,False,4.6977,4.6803,4.7024,4.7112,4.7138
594,M,False,3.9675,4.0133,4.0235,3.9589,4.0354
595,M,False,4.1102,4.1305,4.027,4.0328,4.0089
596,M,False,4.5414,4.6175,4.5996,4.615,4.6044
597,M,True,4.8239,4.8159,4.7884,4.8075,4.7856
598,M,False,4.9078,4.9189,4.9078,4.9067,4.9057
599,M,False,4.3393,4.3532,4.345,4.345,4.4634
600,M,True,4.6503,4.6853,4.6765,4.6652,4.6716
601,M,False,4.6716,4.6215,4.6958,4.7441,4.673
602,M,True,4.5404,4.5397,4.5821,4.5427,4.4558
603,M,False,4.4961,4.4888,4.5228,4.5444,4.4678
604,M,False,4.5228,4.5444,4.4678,4.4713,4.4933
605,M,True,4.5316,4.557,4.5429,4.5559,4.5668
606,M,False,4.5198,4.5203,4.5419,4.5433,4.5501
607,M,True,3.2851,3.2291,3.3563,3.3974,3.4248
608,M,False,3.488,3.4039,3.3771,3.4754,3.5003
609,M,True,3.4867,3.4782,3.5089,3.5749,3.4335
610,M,True,4.2843,4.2488,4.3105,4.3059,4.2698
611,M,False,4.2626,4.3222,4.3273,4.3113,4.377
612,M,True,4.4536,4.4556,4.4651,4.4226,4.4861
613,M,False,4.441,4.523,4.4976,4.4646,4.5185
614,M,False,4.5487,4.5866,4.4696,4.5121,4.5253
615,M,False,4.8772,4.8687,4.8578,4.9163,4.8787
616,M,False,4.6404,4.6238,4.6792,4.6988,4.6626
617,M,False,4.1825,4.2068,4.2761,4.2902,4.2394
618,M,True,4.6439,4.5879,4.5466,4.6229,4.6392
619,M,True,4.7021,4.7367,4.7216,4.6061,4.6047
620,M,False,4.6047,4.5801,4.6777,4.7114,4.6797
621,M,False,4.7701,4.7978,4.7632,4.752,4.7674
622,M,False,4.7632,4.752,4.7674,4.7346,4.8092
623,M,False,4.8397,4.8878,4.8606,4.8345,4.8866
624,M,False,4.9259,4.9194,4.928,4.9318,4.9343
625,M,False,4.9573,4.9779,5.0042,5.0576,5.0405
626,M,False,5.0405,5.0159,5.0321,5.0285,5.0275
627,M,True,5.2254,5.2075,5.2093,5.2182,5.2271
628,M,True,5.2549,5.2634,5.2713,5.2689,5.2562
629,M,False,5.2512,5.2481,5.2238,5.2255,5.2233
630,M,True,5.1658,5.2093,5.203,5.1944,5.209
631,M,True,5.2448,5.2617,5.2657,5.278,5.2753
632,M,False,5.2657,5.278,5.2753,5.2514,5.2334
633,M,True,5.1083,5.0966,5.129,5.1112,5.113
634,M,False,5.1344,5.121,5.1081,5.1461,5.1342
635,M,False,5.1236,5.124,5.1739,5.1385,5.1209
636,M,True,5.0538,5.0383,5.0253,5.0477,5.0117
637,M,True,4.8957,4.9142,4.9089,4.8863,4.8717
638,M,False,4.8538,4.874,4.897,4.8908,4.9041
639,M,False,4.8311,4.8738,4.8839,4.916,4.8643
640,M,True,4.6891,4.6687,4.6438,4.6291,4.5803
641,M,False,3.5929,3.6243,3.913,3.8181,3.7696
642,M,True,3.8208,3.8778,3.9256,3.9745,4.0115
643,M,False,3.9142,3.9042,3.8948,3.9569,3.8315
644,M,False,4.1534,4.2136,4.2124,4.1608,4.2577
645,M,False,2.877,2.8587,3.0454,3.0348,3.0409
646,M,False,3.7455,3.7072,3.6875,3.7818,3.7532
647,M,False,4.5973,4.5923,4.5979,4.5873,4.6055
648,M,False,4.3568,4.3604,4.3647,4.3255,4.3112
649,M,False,4.2884,4.2871,4.3224,4.1842,4.3226
650,M,False,4.3573,4.4026,4.4239,4.4933,4.4913
651,C,True,3.7258,3.7141,3.7434,3.7218,3.7415
652,C,True,3.0881,3.2017,3.1193,3.1277,3.0306
653,C,False,2.5962,2.8464,2.8066,0.0,2.7799
654,C,False,4.2764,4.409,4.4,4.4722,4.4371
655,C,False,3.7827,3.7921,3.8489,3.863,3.8909
656,C,False,4.6687,4.5346,4.7324,4.746,4.7561
657,C,False,4.1345,4.2429,4.1124,4.1447,4.132
658,C,False,3.0211,2.6659,3.1379,3.0458,3.063
659,C,False,4.5168,4.4924,4.499,4.5071,4.481
660,C,True,4.905,4.8856,4.8501,4.8586,4.8589
661,C,False,4.2766,4.2652,4.3201,4.348,4.3427
662,C,False,3.2216,3.4249,3.2346,3.0498,3.0747
663,C,False,0.0,2.1166,2.1061,0.0,0.0
664,C,False,4.2667,4.3088,4.2432,4.2983,4.2798
665,C,True,2.8649,2.7864,2.7813,2.8761,2.6832
666,C,True,4.2375,4.2881,4.2859,4.2945,4.301
667,C,False,4.5441,4.4982,4.4879,4.4997,4.4835
668,C,False,3.4369,3.1173,3.0758,2.9959,3.2116
669,C,False,3.6509,3.6019,3.4807,3.4984,3.532
670,C,True,3.8443,3.8173,3.8684,3.8154,3.8091
671,C,False,3.776,3.686,3.7693,3.7092,3.7662
672,C,False,4.7005,4.7052,4.724,4.648,4.6836
673,C,False,3.7654,3.7352,3.6962,3.475,3.4624
674,C,False,0.0,0.0,0.0,1.8764,2.1879
675,C,False,4.3369,4.3759,4.3126,4.3233,4.3878
676,C,False,4.513,4.5321,4.4683,4.4557,4.5046
677,C,True,3.5426,3.5884,3.6192,3.7012,3.6475
678,C,False,4.2707,4.2492,4.204,4.2043,4.1766
679,C,False,0.0,0.0,1.9315,0.0,0.0
680,C,False,4.3831,4.5278,4.5219,4.6057,4.4809
681,C,False,3.752,3.752,3.7582,3.7482,3.8232
682,C,True,3.6347,3.498,3.4779,3.5842,3.6551
683,C,False,0.0,0.0,0.0,0.0,0.0
684,C,False,4.8502,4.8311,4.7966,4.8017,4.8398
685,C,False,3.8443,3.8173,3.8684,3.8154,3.8091
686,C,False,4.1369,4.173,3.9133,3.8644,3.5012
687,C,True,4.9785,4.9814,4.9801,4.9866,4.9832
688,C,False,2.8504,3.2376,3.2432,3.0963,2.9756
689,C,False,4.6918,4.6386,4.6697,4.7908,4.6753
690,C,False,0.0,0.0,0.0,0.0,0.0
691,C,False,3.2622,3.2783,3.2606,3.3201,3.3001
692,C,True,4.2559,3.8878,4.0119,3.9236,3.5834
693,C,False,3.9229,3.9679,3.9953,3.9144,3.8507
694,C,False,4.3954,4.4481,4.4354,4.4546,4.4858
695,C,False,0.0,0.0,0.0,0.0,0.0
696,C,False,4.8439,4.8534,4.8517,4.8544,4.8299
697,C,False,3.6096,3.0186,2.9288,3.2268,3.2492
698,C,False,3.5282,3.4734,3.5402,3.4343,3.4661
699,C,False,3.9931,4.067,3.9348,3.9202,4.0117
700,C,False,2.3849,2.3756,2.0879,0.0,0.0
701,C,False,4.5078,4.5274,4.6028,4.5833,4.5779
702,C,True,4.3931,4.4597,4.4299,4.4935,4.5322
703,C,False,4.4453,4.4527,4.5044,4.4418,4.3925
704,C,False,3.4625,3.4705,3.5093,3.5513,3.4923
705,C,False,4.6707,4.658,4.6851,4.7102,4.7338
706,C,False,4.4745,4.4731,4.4839,4.5195,4.5112
707,C,False,3.2978,3.4028,3.3024,3.3043,3.3074
708,C,False,3.8408,3.8697,3.9052,3.9662,3.93
709,C,False,1.92,2.8425,2.7826,2.7718,2.695
710,C,True,4.3441,4.3393,4.391,4.4073,4.4314
711,C,False,2.8306,3.0837,2.9014,2.9601,2.6628
712,C,False,4.8,4.7812,4.74,4.7625,4.7653
713,C,False,4.5847,4.5501,4.6413,4.6342,4.6282
714,C,False,3.702,3.864,3.8086,3.757,3.6927
715,C,False,3.9482,3.9067,4.0033,4.0762,4.0286
716,C,False,4.3576,4.3868,4.3871,4.4453,4.4277
717,C,False,3.9287,3.965,4.0254,4.0354,4.0359
718,C,True,2.4879,2.3565,2.1688,2.1624,1.8281
719,C,False,3.9329,4.0197,3.9336,3.9404,3.9512
720,C,False,0.0,2.0033,0.0,0.0,0.0
721,C,False,2.7595,3.0236,2.8143,3.0278,2.9392
722,C,False,4.3866,4.3147,4.3711,4.4895,4.5033
723,C,False,4.1878,4.1997,4.2763,4.2089,4.2194
724,C,False,2.7595,2.6197,2.354,2.2202,2.7386
725,C,True,3.845,3.7783,3.9099,3.8984,3.7368
726,C,False,4.3728,4.3587,4.3398,4.3175,4.3333
727,C,False,4.5952,4.5809,4.608,4.5964,4.5995
728,C,False,3.8905,3.924,3.9336,3.9339,3.8997
729,C,False,4.2427,4.239,4.2473,4.2121,4.2626
730,C,False,3.7467,3.7724,4.0021,3.9123,3.9873
731,C,False,3.8337,3.7364,3.7346,3.7028,3.7705
732,C,False,3.902,3.9675,4.0672,3.9962,3.9785
733,C,False,4.3015,4.3059,4.3291,4.284,4.312
734,C,False,4.7935,4.7561,4.7091,4.7436,4.7105
735,C,False,2.3996,2.5416,2.3959,2.3961,2.3881
736,C,False,3.7258,3.7141,3.7434,3.7218,3.7415
737,C,False,4.3118,4.3049,4.3109,4.3452,4.3383
738,C,False,4.7367,4.7617,4.8211,4.8248,4.7979
739,C,False,3.9382,3.8399,3.9618,3.9507,4.0151
740,C,False,3.8003,3.8043,3.6995,3.5026,3.7184
741,C,False,2.7675,2.7408,2.8614,2.782,2.7142
742,C,False,3.8506,3.923,3.9601,3.9875,3.8539
743,C,False,4.8603,4.8437,4.8619,4.8546,4.8555
744,C,False,4.6192,4.5382,4.5531,4.5798,4.6193
745,C,False,4.8087,4.8145,4.8388,4.8508,4.8614
746,C,False,3.971,3.9799,4.0133,4.0316,4.0127
747,C,False,4.1411,4.154,4.1573,4.146,4.1185
748,C,False,3.7012,3.7535,3.7,3.7744,3.8134
749,C,False,4.905,4.8856,4.8501,4.8586,4.8589
750,C,False,4.5586,4.5848,4.5716,4.5088,4.5108
751,C,False,4.4218,4.3208,4.3191,4.3418,4.2921
752,C,False,2.8632,2.866,2.6222,2.6978,2.0716
753,C,False,4.0568,4.0823,4.0041,3.9844,4.0118
754,C,False,3.2275,3.1397,3.0033,2.9838,2.9506
755,C,False,4.611,4.5938,4.7298,4.6091,4.5884
756,C,False,4.3139,4.5178,4.3988,4.5528,4.6191
757,C,False,3.9343,4.0572,4.038,4.0012,3.9018
758,C,False,4.452,4.5042,4.473,4.4984,4.4632
759,C,False,4.3654,4.334,4.3002,4.2877,4.3075
760,C,False,4.4219,4.4075,4.4573,4.4147,4.3982
761,C,False,4.8809,4.8106,4.7468,4.7997,4.8101
762,C,False,2.8649,2.7864,2.7813,2.8761,2.6832
763,C,False,4.2011,4.1859,4.2251,4.2142,4.2487
764,C,False,4.6822,4.672,4.6722,4.6415,4.5957
765,C,False,3.6934,3.6526,4.0891,3.892,4.0445
766,C,False,4.0918,4.0919,4.0926,4.1132,4.1742
767,C,False,3.7393,3.7572,3.7092,3.8122,3.7767
768,C,False,3.4523,3.3264,3.6275,3.5068,3.3987
769,C,False,3.6347,3.498,3.4779,3.5842,3.6551
770,C,False,2.3483,2.1818,1.8813,1.8726,1.8792
771,C,False,3.5286,3.3307,3.4558,3.6533,3.6587
772,C,False,4.5981,4.5999,4.5891,4.6947,4.6064
773,C,False,3.845,3.7783,3.9099,3.8984,3.7368
774,C,False,4.1944,4.2158,4.1481,4.3041,4.2551
775,C,False,4.1713,4.0574,4.06,4.1485,4.1476
776,C,False,4.0924,3.6994,3.945,4.2645,3.7401
777,C,False,5.0509,5.0591,5.0485,5.043,5.0482
778,C,False,3.3421,3.2005,3.2288,3.3593,3.5315
779,C,False,3.6494,3.905,3.8315,3.7318,3.7201
780,C,False,3.342,3.4321,3.5454,3.477,3.4842
781,C,False,3.2616,3.1985,3.1622,3.0516,2.8132
782,C,False,4.5791,4.5076,4.5258,4.5405,4.4987
783,C,False,4.0149,3.9401,3.9267,3.93,3.9274
784,C,False,3.3714,3.3555,3.3287,3.3732,3.4301
785,C,False,3.5777,3.744,3.6564,3.6684,3.7389
786,C,False,3.4919,3.4944,3.494,3.5859,3.5326
787,C,False,3.6747,3.6991,3.7113,3.7159,3.7722
788,C,False,3.9349,4.0222,3.9322,3.9397,3.8617
789,C,False,3.9798,3.9735,4.0203,3.9627,4.0003
790,C,False,4.2907,4.2641,4.2759,4.2414,4.2564
791,C,True,3.8052,3.7874,3.8361,3.8379,3.8759
792,C,False,3.3113,3.31,3.0032,3.1025,3.2038
793,C,False,4.2562,4.2188,4.2171,4.1945,4.2229
794,C,False,4.3514,4.2448,4.2699,4.3059,4.3208
795,C,False,4.3375,4.3339,4.3151,4.3477,4.3501
796,C,False,2.4879,2.3565,2.1688,2.1624,1.8281
797,C,False,4.4363,4.4343,4.4688,4.4661,4.472
798,C,False,4.285,4.2786,4.2769,4.2991,4.3223
799,C,False,4.5065,4.5368,4.5337,4.5582,4.5293
800,C,False,4.0995,4.1695,4.1547,4.1984,4.1273
801,C,False,3.6741,3.6143,3.3679,3.5059,3.4261
802,C,False,4.2547,4.2496,4.3479,4.3419,4.2707
803,C,False,4.6458,4.6416,4.6822,4.6626,4.6799
804,C,False,0.0,0.0,0.0,0.0,0.0
805,C,False,2.9903,3.4706,3.6238,3.6937,3.6602
806,C,False,3.9935,4.0243,3.9866,3.8924,4.0814
807,C,False,2.7799,2.7706,2.6279,2.6974,2.4154
808,C,False,4.4299,4.4935,4.5322,4.302,4.4842
809,C,False,4.1995,4.1633,4.1903,4.1618,4.2073
810,C,True,3.9566,4.0107,4.0203,4.07,4.0503
811,C,False,3.8735,3.7388,3.7788,3.7673,3.7624
812,C,True,4.2652,4.1502,4.108,4.0954,4.0198
813,C,False,3.7877,3.768,3.7024,3.7573,3.7672
814,C,False,4.4448,4.5969,4.4315,4.4596,4.5297
815,C,False,3.0881,3.2017,3.1193,3.1277,3.0306
816,C,False,3.7614,3.8402,3.7603,3.7272,3.6085
817,C,False,3.8184,3.7598,3.7533,3.8031,3.8138
818,C,False,3.852,3.7463,3.7478,3.6901,3.688
819,C,False,3.9566,4.0107,4.0203,4.07,4.0503
820,C,False,4.0958,4.0801,4.0592,4.1097,4.0866
821,C,False,4.4624,4.4455,4.411,4.3905,4.4218
822,C,False,4.7298,4.6966,4.7067,4.7575,4.677
823,C,False,2.7904,2.4335,2.6561,2.8155,2.8109
824,C,False,4.6408,4.7777,4.7445,4.7313,4.7204
825,C,False,4.7549,4.7457,4.7555,4.7329,4.7709
826,C,False,4.1999,4.4152,4.2838,4.176,4.3221
827,C,False,0.0,0.0,0.0,0.0,0.0
828,C,False,3.2321,3.2566,3.1761,3.4064,3.2664
829,C,False,4.7217,4.6436,4.5883,4.6154,4.608
830,C,False,3.6546,3.558,3.5813,3.5588,3.6119
831,C,False,4.0118,4.0501,4.0343,4.0497,4.0774
832,C,False,4.378,4.3739,4.3673,4.3557,4.4084
833,C,False,3.8752,4.071,4.0068,4.02,3.9863
834,C,False,2.9712,2.2522,2.5775,2.5919,2.9788
835,C,False,4.8088,4.7711,4.7438,4.6997,4.7009
836,C,False,3.1237,3.2743,3.4237,3.3102,3.2699
837,C,False,3.5489,3.7831,3.9029,3.899,3.857
838,C,False,4.2652,4.1502,4.108,4.0954,4.0198
839,C,False,3.5583,3.5824,3.5916,3.6416,3.6584
840,C,False,3.5628,3.613,3.6001,3.3627,3.4716
841,C,False,3.5426,3.5884,3.6192,3.7012,3.6475
842,C,False,3.1966,3.37,3.4285,3.3308,3.2093
843,C,False,4.2989,4.2868,4.3198,4.3378,4.3771
844,C,False,4.3441,4.3393,4.391,4.4073,4.4314
845,B,True,3.6997,3.5884,3.5778,3.6864,3.5963
846,B,False,4.1456,4.1644,4.1359,4.127,4.0332
847,B,False,0.0,0.0,0.0,0.0,0.0
848,B,False,0.0,0.0,0.0,0.0,0.0
849,B,True,4.4743,4.5431,4.5352,4.4035,4.2522
850,B,True,4.1714,4.2324,4.2364,4.236,4.1524
851,B,False,3.4187,3.6772,3.5653,3.504,3.6706
852,B,False,4.0296,3.9981,3.9976,3.95,4.0245
853,B,False,1.87,1.9282,2.4838,2.8886,2.3984
854,B,False,0.0,0.0,0.0,0.0,0.0
855,B,True,4.9562,5.0186,4.9036,4.9564,4.9991
856,B,False,2.6318,3.2815,3.0141,2.9494,2.8807
857,B,True,3.5695,3.5232,3.5294,3.5093,3.5436
858,B,False,0.0,0.0,0.0,2.398,2.7031
859,B,False,2.4977,3.2727,3.3529,3.2982,2.8039
860,B,True,3.2912,3.4093,3.4803,3.3487,3.4885
861,B,True,4.0418,4.0026,4.0202,4.0851,4.0935
862,B,True,3.5615,3.3769,3.5494,3.5806,3.5856
863,B,True,3.5355,3.6083,3.6658,3.554,3.5294
864,B,False,2.3196,2.3168,2.1416,2.437,2.1421
865,B,False,3.4073,3.2534,3.6,3.6546,3.5492
866,B,True,3.7744,3.7961,3.7806,3.7061,3.7062
867,B,True,2.6488,2.6447,2.1608,2.5029,2.5941
868,B,False,3.8641,3.8677,3.8899,3.9005,3.7564
869,B,True,3.2736,3.4319,3.4278,3.5299,3.4727
870,B,True,3.4437,3.5352,3.3614,3.429,3.4673
871,B,True,2.6844,2.7536,2.7687,2.7534,2.5273
872,B,True,3.5694,3.5516,3.5898,3.7288,3.77
873,B,True,3.417,3.3355,3.2358,3.2394,3.4176
874,B,True,3.4235,3.0328,2.9167,3.2883,3.133
875,B,True,4.5418,4.5665,4.4512,4.5388,4.5368
876,B,True,3.0504,3.3367,3.2141,3.0717,3.1423
877,B,False,3.7873,3.4121,3.609,3.6685,3.3668
878,B,False,3.9684,4.0251,4.0161,4.0712,4.155
879,B,True,0.0,0.0,0.0,0.0,0.0
880,B,False,0.0,0.0,0.0,0.0,0.0
881,B,False,0.0,0.0,0.0,0.0,0.0
882,B,True,3.7425,3.7676,3.9107,3.9217,3.9128
883,B,True,3.8509,3.9441,3.9829,3.924,3.9786
884,B,False,0.0,0.0,0.0,2.564,2.4431
885,B,False,0.0,0.0,0.0,0.0,0.0
886,B,False,0.0,0.0,0.0,0.0,0.0
887,B,True,3.9043,3.9221,3.9084,3.9124,3.9429
888,B,False,3.5863,3.5914,3.4821,3.5406,3.6136
889,B,True,2.1744,2.1821,2.1708,2.1616,0.0
890,B,True,3.1589,3.1545,3.0992,3.155,3.098
891,B,True,5.0445,5.0415,5.0506,5.0359,4.9834
892,B,True,3.6393,3.5985,3.4754,3.5344,3.6728
893,B,False,2.095,2.6087,2.9634,2.5496,2.1629
894,B,False,3.2845,3.3031,3.2827,3.0716,3.0674
895,B,False,0.0,0.0,0.0,2.2844,2.2844
896,B,False,3.8338,3.8069,3.7462,3.7268,3.6853
897,B,False,4.1846,4.26,4.2744,4.3078,4.4144
898,B,False,3.9309,3.9201,3.9471,3.8859,3.8977
899,B,False,2.9537,2.9787,3.4175,3.324,3.0186
900,B,False,4.1986,4.208,4.2626,4.2017,4.1903
901,B,True,3.0544,3.0699,3.2321,3.2315,3.0257
902,B,True,2.0802,2.1005,2.437,2.45,1.8724
903,B,False,2.5123,2.5806,2.5839,2.4036,2.4079
904,B,False,2.2161,2.2196,2.2156,0.0,0.0
905,B,True,3.774,3.7734,3.6961,3.7259,3.7391
906,B,False,3.4427,3.2174,3.3043,3.4607,3.2044
907,B,True,2.9191,2.8202,3.1604,2.8274,3.2807
908,B,False,0.0,0.0,0.0,0.0,0.0
909,B,False,0.0,0.0,0.0,0.0,0.0
910,B,True,0.0,2.0033,0.0,0.0,0.0
911,B,False,3.0276,2.6381,0.0,0.0,0.0
912,B,False,3.8186,3.8102,3.667,3.6503,3.6087
913,B,True,0.0,0.0,0.0,0.0,0.0
914,B,False,3.5,2.7847,3.1953,3.5245,3.5437
915,B,False,3.1837,3.3731,3.2933,3.3674,3.4501
916,B,False,2.8155,3.1675,2.8476,2.8964,2.7358
917,B,False,3.9011,3.8569,3.9115,3.883,3.9196
